transaction_id,account_id,transaction_amount,transaction_date,currency,transaction_type,status,branch_code,capital_ratio,approval_code,customer_risk_rating,counterparty_id,risk_score
TXN-016,,1500.00,2024-01-15,USD,DEBIT,APPROVED,BR-001,0.12,APR-9916,LOW,CTR-016,25.0
TXN-017,ACC-100017,,2024-01-15,EUR,CREDIT,APPROVED,BR-002,0.15,APR-9917,LOW,CTR-017,30.0
TXN-018,ACC-100018,750.00,,GBP,TRANSFER,APPROVED,BR-003,0.10,APR-9918,MEDIUM,CTR-018,18.0
TXN-019,ACC-100019,4900.00,2024-01-16,,DEBIT,APPROVED,BR-001,0.09,APR-9919,LOW,CTR-019,45.0
TXN-020,ACC-100020,220.75,2024-01-17,EUR,,PENDING,BR-002,0.11,APR-9920,LOW,CTR-020,12.0
TXN-021,ACC-100021,8800.00,2024-01-17,USD,TRANSFER,,BR-004,0.13,APR-9921,MEDIUM,CTR-021,60.0
TXN-022,ACC-100022,1100.00,2024-01-18,GBP,DEBIT,APPROVED,,0.14,APR-9922,LOW,CTR-022,22.0
TXN-023,ACC-100023,5500.00,2024-01-18,USD,CREDIT,APPROVED,BR-001,,APR-9923,HIGH,CTR-023,35.0
TXN-024,ACC-100024,340.00,2024-01-19,EUR,DEBIT,REJECTED,BR-005,0.09,,LOW,CTR-024,8.0
TXN-025,ACC-100025,2750.00,2024-01-19,USD,TRANSFER,APPROVED,BR-002,0.12,APR-9925,,CTR-025,28.0
TXN-026,ACC-100026,1800.00,2024-01-20,GBP,DEBIT,APPROVED,BR-003,0.11,APR-9926,LOW,,20.0
TXN-027,ACC-100027,6200.00,2024-01-20,USD,CREDIT,APPROVED,BR-001,0.13,APR-9927,MEDIUM,CTR-027,
TXN-028,ACC-100028,,2024-01-21,EUR,TRANSFER,APPROVED,BR-004,0.10,APR-9928,LOW,CTR-028,15.0
TXN-029,,3300.00,2024-01-21,USD,DEBIT,APPROVED,BR-002,0.14,APR-9929,LOW,CTR-029,32.0
TXN-030,ACC-100030,7100.00,2024-01-22,GBP,CREDIT,APPROVED,BR-005,,APR-9930,HIGH,CTR-030,55.0
